case_id,observed_spacing,U10,depth,Ra,L_inst,coarsened_width,comparison_spacing,pattern_lifetime_s,u_star_water,nu_T_vertical,A_H,site_id,wiggle_spacing,manual_spacing,measurement_method,n_events,visible_n_events,mechanical_capped_width,cap_binding
obs_001,369.5447048,1.4249999999999998,2.0,20228.384656178383,30.310388786622074,30.310388786622074,30.310388786622074,0.0,0.0015889312002575573,0.00021714844715522085,0.0031778624005151146,taihu,369.5447048,,wiggle,0,0,24.0,True
obs_002,54.51738712,1.455,3.5,19149.7427018708,55.51189203691689,55.51189203691689,55.51189203691689,0.0,0.0016209780616938058,0.00038767413000434417,0.005673423215928321,prairie,54.51738712,,wiggle,0,0,42.0,True
obs_003,76.20806952,1.9449999999999998,3.5,19237.092975055,53.98960569050551,53.98960569050551,53.98960569050551,0.0,0.002157547327444205,0.0005160003721679772,0.007551415646054718,prairie,,76.20806952,manual,0,0,42.0,True
obs_004,71.61642828,3.2199999999999998,2.0,21893.218690825797,25.938573647731705,103.75429459092682,103.75429459092682,19800.0,0.0037834759128714903,0.0005170619843049546,0.007566951825742981,taihu,97.85781439,71.61642828,manual,2,2,24.0,True
obs_005,40.44183062,3.2199999999999998,2.0,21893.218690825797,25.938573647731705,103.75429459092682,103.75429459092682,19800.0,0.0037834759128714903,0.0005170619843049546,0.007566951825742981,taihu,188.5792208,40.44183062,manual,2,2,24.0,True
obs_006,125.3438923,2.5250000000000004,2.0,21756.97296945504,27.221620759500745,108.88648303800298,108.88648303800298,19800.0,0.0028479515870877617,0.0003892102216943755,0.005695903174175523,taihu,125.3438923,,wiggle,2,2,24.0,True
obs_007,126.24514,2.665,2.0,21824.180690105808,26.934435243183948,53.868870486367896,53.868870486367896,5400.0,0.0030265479366649176,0.0004136177731176115,0.006053095873329835,taihu,126.24514,,wiggle,1,1,24.0,True
obs_008,110.7985895,1.625,2.0,20640.073031174397,29.599218589897358,29.599218589897358,29.599218589897358,0.0,0.0018039157212554075,0.00024652892309371646,0.003607831442510815,taihu,110.7985895,,wiggle,0,0,24.0,True
obs_009,157.9727524,2.5149999999999997,2.0,21751.218306623876,27.242787767750784,54.48557553550157,54.48557553550157,5400.0,0.002835383852289673,0.00038749267464437034,0.005670767704579346,taihu,157.9727524,,wiggle,1,1,24.0,True
obs_010,108.120343,2.5149999999999997,2.0,21751.218306623876,27.242787767750784,54.48557553550157,54.48557553550157,5400.0,0.002835383852289673,0.00038749267464437034,0.005670767704579346,taihu,108.120343,,wiggle,1,1,24.0,True
obs_011,75.59410319,3.16,2.0,21897.681152447673,26.036756585422744,104.14702634169097,104.14702634169097,19800.0,0.0036979391068071637,0.0005053722493381574,0.0073958782136143274,taihu,75.59410319,,wiggle,2,2,24.0,True
obs_012,115.5076462,3.16,2.0,21897.681152447673,26.036756585422744,104.14702634169097,104.14702634169097,19800.0,0.0036979391068071637,0.0005053722493381574,0.0073958782136143274,taihu,115.5076462,,wiggle,2,2,24.0,True
