fetch_angle_mode,annotation_category,n,spearman_rho,spearman_p_value,bias_m,mae_m,median_observed_m,median_predicted_m,median_point_mean_spacing_m
from,all,26,-0.07213675213675212,0.726193634859796,233.463454079257,233.90846626671419,51.05101439,274.61528564886584,46.3406459672706
from,manual,16,-0.02647058823529412,0.9224805705017287,223.43298463005715,223.43298463005715,53.010874015,242.67893738745926,45.59917163415414
from,stream,9,-0.19999999999999998,0.6059012741795533,277.87857893519003,277.87857893519003,48.91934722,367.12024958748844,44.69072413793104
from,wiggle,1,,,-5.785158436943817,5.785158436943817,207.3406028,201.55544436305618,213.7673142857143
to,all,26,-0.04957264957264957,0.8099520587665144,232.6453322724462,234.20096276755504,51.05101439,284.03396904702697,46.3406459672706
to,manual,16,0.0411764705882353,0.8796536149318311,222.69025789579206,222.69025789579206,53.010874015,254.9243261484045,45.59917163415414
to,stream,9,-0.19999999999999998,0.6059012741795533,278.43974546526033,278.43974546526033,48.91934722,362.34110912362104,44.69072413793104
to,wiggle,1,,,-20.22319643641478,20.22319643641478,207.3406028,187.11740636358522,213.7673142857143
