subset_id,model,model_type,n_cases,rmse_m,mae_m,rmse_ratio_pct,mae_ratio_pct,bias_m,pearson_r,spearman_rho,hit_rate_30pct,tail_coverage_low,tail_coverage_high,tail_coverage_overall,dynamic_range_p90_p10,range_coverage_fraction,dynamic_range_pass,attractor_pass,attractor_max_fraction,attractor_message
BM-D_wide_spacing,scaling,candidate,12,270.4015204098816,251.30389735994808,96.3995026595484,96.32319762439955,-251.30389735994808,0.7211466411204828,0.6713286713286714,0.0,,0.0,0.0,14.17289193871234,0.16313113844767127,False,True,0.0,OK: max fraction in any 20% band = 0.00%
BM-E_neagh,baseline_constant,baseline,26,56.8120870999068,53.68963414443169,116.77071465181652,103.47577848732861,43.24715024971299,,,0.07692307692307693,0.0,0.5,0.05263157894736842,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [37, 207] m. Attractor behaviour detected."
BM-E_neagh,baseline_depth_scaled,baseline,26,42.682475002783065,33.226981637432445,70.48082342212243,54.79805013339838,14.40548168527022,0.30099253798024656,0.5384615384615384,0.46153846153846156,0.4117647058823529,0.5,0.42105263157894735,2.6025410275849277,0.7341753858867612,True,True,0.4230769230769231,OK: max fraction in any 20% band = 42.31%
BM-E_neagh,baseline_linear_wind,baseline,26,48.24381767710651,39.04074576373868,85.31786515954055,67.18982636849785,23.345582241586392,0.30099253798024656,0.5384615384615384,0.23076923076923078,0.23529411764705882,0.5,0.2631578947368421,2.6436397842213215,0.8282787505599277,True,True,0.4230769230769231,OK: max fraction in any 20% band = 42.31%
BM-E_neagh,cl,candidate,26,75.99968300073363,73.37111615944471,158.77537512796297,143.3041464045418,66.97087346287657,0.2630283479614718,0.5384615384615384,0.07692307692307693,0.0,0.5,0.05263157894736842,1.0779064301127008,0.1072115673427098,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [37, 207] m. Attractor behaviour detected."
BM-E_neagh,scaling,candidate,26,56.61509729741044,43.774007107650085,76.99115032826728,70.21684383851088,-8.049339893426453,-0.3442365116219376,-0.4242735042735042,0.19230769230769232,0.11764705882352941,0.0,0.10526315789473684,8.51131094697151,0.4635760940143656,False,False,0.5384615384615384,"FAIL: 53.85% of predictions in a band spanning 20% of observed range [37, 207] m. Attractor behaviour detected."
BM-E_north_america,baseline_constant,baseline,15,148.87683884940483,93.42563177468655,93.2243340371947,75.20402048129621,-32.488086260338285,,,0.2,0.0,0.0,0.0,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
BM-E_north_america,baseline_depth_scaled,baseline,15,144.56141268001582,93.06531292339042,104.98497603817066,78.36298341632587,-26.595737555849237,0.2085860629157481,0.1857142857142857,0.4,0.2,0.0,0.125,1.9310907511782638,0.24462796869246511,False,False,0.9333333333333333,"FAIL: 93.33% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
BM-E_north_america,baseline_linear_wind,baseline,15,142.54064674034316,92.38844734602526,106.43480737356133,78.91643213085561,-29.20368832944172,0.2809653975828456,0.18928571428571428,0.3333333333333333,0.0,0.0,0.0,2.292610614290915,0.275983303384486,False,False,0.8666666666666667,"FAIL: 86.67% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
BM-E_north_america,cl,candidate,15,153.64210561641133,92.08059965946268,69.51479375764423,54.565348695690155,-75.40571873732785,0.5325406713649815,0.12857142857142856,0.3333333333333333,0.6,0.0,0.375,2.252367495901256,0.13898310066345673,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
BM-E_north_america,scaling,candidate,15,183.45385628081763,118.00478285363663,75.18401474380745,69.1773356335155,-118.00478285363663,0.34087554781879126,-0.04642857142857142,0.2,0.6,0.0,0.375,8.668082569884591,0.12143918158999326,False,True,0.06666666666666667,OK: max fraction in any 20% band = 6.67%
BM-E_taihu,baseline_constant,baseline,26,74.34652352101631,51.91769146328358,66.61394997824266,45.79515420091974,-24.50402356105624,,,0.46153846153846156,0.0,0.46153846153846156,0.375,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 370] m. Attractor behaviour detected."
BM-E_taihu,baseline_depth_scaled,baseline,26,64.98465079857196,49.206749224496654,83.5172627147506,54.01405406210359,0.9382130584891394,0.38692739668162784,0.3232980572048516,0.5,0.0,0.6153846153846154,0.5,1.5157061312156135,0.2614112798517325,False,False,0.8846153846153846,"FAIL: 88.46% of predictions in a band spanning 20% of observed range [38, 370] m. Attractor behaviour detected."
BM-E_taihu,baseline_linear_wind,baseline,26,65.11852456343699,49.26753876604902,76.7093663002967,51.155228925745725,-6.497300513062308,0.38692739668162784,0.3232980572048516,0.4230769230769231,0.0,0.5384615384615384,0.4375,1.6491732812287765,0.29491782538629097,False,False,0.8461538461538461,"FAIL: 84.62% of predictions in a band spanning 20% of observed range [38, 370] m. Attractor behaviour detected."
BM-E_taihu,cl,candidate,26,125.05965148984066,103.91001684640028,73.39765900374347,71.63965351376437,-103.91001684640028,0.14487346668944107,0.3766678952196207,0.0,0.0,0.0,0.0,1.2678931071533204,0.0733044670868986,False,True,0.07692307692307693,OK: max fraction in any 20% band = 7.69%
BM-E_taihu,scaling,candidate,26,142.97658604187853,122.31101233831546,88.37059609451146,87.4404872253825,-122.31101233831546,-0.49432359432900425,-0.29250776604248474,0.0,0.0,0.0,0.0,8.02873644805993,0.044772242537511595,False,True,0.0,OK: max fraction in any 20% band = 0.00%
proxy_low_wind,baseline_constant,baseline,44,106.26633906776873,69.04194229607529,83.0740268342069,63.489686351466815,-21.416253781807992,7.240229289704526e-17,,0.2727272727272727,0.0,0.3125,0.18518518518518517,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
proxy_low_wind,baseline_depth_scaled,baseline,44,101.87820722639921,69.96829540900971,99.83588786691293,74.11491443819249,0.09499774148792671,0.20518660044972248,0.34458697833200064,0.38636363636363635,0.0,0.5625,0.3333333333333333,1.4412905794779893,0.17217509868741987,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
proxy_low_wind,baseline_linear_wind,baseline,44,101.75381384536733,70.88644869408868,102.39867863634832,76.0522146706993,-0.07916991428236063,0.21328831982661808,0.25718917650510753,0.3181818181818182,0.0,0.5,0.2962962962962963,1.480766230633659,0.14561082264457542,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
proxy_low_wind,cl,candidate,44,133.48386348405094,99.929189426652,95.19408890711794,80.63331213132858,-65.43724477294869,-0.05414051205606231,-0.13976600082478163,0.11363636363636363,0.18181818181818182,0.0625,0.1111111111111111,5.256033821905567,0.24526962671091593,False,True,0.4772727272727273,OK: max fraction in any 20% band = 47.73%
proxy_low_wind,scaling,candidate,44,153.93231500162,113.36074376438856,81.73920243148865,78.47887734010729,-113.36074376438856,0.06685762978048863,-0.29609529473772445,0.09090909090909091,0.36363636363636365,0.0,0.14814814814814814,18.872230011252583,0.1250451291481818,False,True,0.1590909090909091,OK: max fraction in any 20% band = 15.91%
