annotation_category,n,median_observed_m,median_U10_mps,median_window_mean_u10_mps,median_pattern_lifetime_h,median_hours_u10_le_4,median_hours_u10_le_5,median_hours_u10_ge_6,median_L_inst_m,median_coarsened_width_m,median_comparison_spacing_m,median_n_events,fraction_n_events_zero,median_coarsening_gain_m,median_comparison_minus_raw_coarsened_m,median_comparison_minus_mechanical_m
all,54,45.142134203062966,4.295,3.777857142857143,5.5,4.0,5.5,0.0,195.9879221830812,321.9052161700881,321.9052161700881,1.0,0.2222222222222222,160.95260808504406,0.0,181.8688823497724
manual,33,42.64070789473684,4.805,4.6207142857142856,5.5,0.0,5.0,0.0,195.63350244005656,387.5042029705994,387.5042029705994,1.0,0.06060606060606061,193.7521014852997,0.0,222.4629896989391
stream,18,68.82885357142857,3.75,3.1864285714285714,5.5,5.5,5.5,0.0,195.48260157108092,225.0079098734749,225.0079098734749,1.0,0.3888888888888889,106.68699799749905,0.0,122.92121499499808
wiggle,3,213.7673142857143,3.125,2.424285714285714,3.5,5.5,5.5,0.0,227.98365832790026,227.98365832790026,227.98365832790026,0.0,1.0,0.0,0.0,39.77389432790025
