case_id,image_date,site_id,annotation_category,measurement_method,observed_spacing,point_group_id,point_n_annotations,point_length_m,point_bearing_deg,point_group_index_mean,bathymetry_raw_m,depth,authoritative_lat,authoritative_lng,U10,window_mean_u10,window_median_u10,window_min_u10,window_max_u10,window_std_u10,window_history_h,hours_u10_le_4,hours_u10_le_5,hours_u10_ge_6,wind_direction_deg,fetch_bin_deg,fetch_at_observation_m,fetch_mean_window_m,fetch_min_window_m,fetch_max_window_m,Ra,L_inst,coarsened_width,mechanical_cell_width,visible_hierarchy_width,visible_spacing_lower,comparison_spacing,pattern_lifetime_s,pattern_lifetime_h,u_star_water,nu_T_vertical,A_H,tau_coarsening_s,tau_next_coarsening_s,n_events,visible_n_events,cell_cap_binding,visible_cap_binding,coarsening_gain_m,mechanical_cap_loss_m,comparison_minus_raw_coarsened_m,comparison_minus_mechanical_m,comparison_minus_onset_m,regime,disruption_triggered,cache_file,source_files
62069e93-48f8-403b-8b0f-73422dd00c30,2024-02-29,neagh,manual,manual,47.9775129032258,62069e93-48f8-403b-8b0f-73422dd00c30,63.0,,,31.0,-13.626177,13.626177,54.66239797355095,-6.338815958992675,6.3149999999999995,5.994999999999999,5.95,5.6,6.3149999999999995,0.2034523461227644,5.5,0.0,0.0,1.5,220.51623160716983,220,22418.15597509441,22418.15597509441,22418.15597509441,22418.15597509441,14639.215828428372,196.18517627931251,392.37035255862503,163.514124,392.37035255862503,196.18517627931251,392.37035255862503,19800.0,5.5,0.009203247622912887,0.008569130815258112,0.12540508108464027,7774.232202329411,31096.928809317644,1,1,True,False,196.18517627931251,228.85622855862502,0.0,228.85622855862502,196.18517627931251,supercritical,False,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p662_6p339_20240219_20240229.json,copernicus_annotations_2026-03-24(2).csv
9c2a1b36-9fa3-48da-9df0-5e78537a7bde,2024-02-29,neagh,manual,manual,37.19904237288136,9c2a1b36-9fa3-48da-9df0-5e78537a7bde,60.0,,,29.5,-11.723264,11.723264,54.56184208119875,-6.467662466888118,6.1899999999999995,5.6499999999999995,5.53,5.24,6.1899999999999995,0.30946959232116555,5.5,0.0,0.0,0.5,223.54120488369728,220,7839.126439677071,7839.126439677071,7839.126439677071,7839.126439677071,14755.254039362144,162.26780924500937,324.53561849001875,140.679168,324.53561849001875,162.26780924500937,324.53561849001875,19800.0,5.5,0.00894958221564691,0.007169237150579614,0.10491831500373365,6357.0218156202955,25428.087262481182,1,1,True,False,162.26780924500937,183.85645049001874,0.0,183.85645049001874,162.26780924500937,supercritical,False,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p562_6p468_20240219_20240229.json,copernicus_annotations_2026-03-24(2).csv
03235bff-e963-47d3-a80b-e112903f105b,2024-03-22,neagh,manual,manual,41.38043773584906,03235bff-e963-47d3-a80b-e112903f105b,54.0,,,26.5,-14.412571,14.412571,54.56209538004077,-6.390520959879203,7.5600000000000005,5.984285714285714,5.2,4.94,7.69,1.1622989183124126,5.5,0.0,3.0,1.5,260.0171975129355,260,7310.88566217178,7310.88566217178,7310.88566217178,7310.88566217178,13569.292171531531,195.63350244005656,391.2670048801131,172.950852,391.2670048801131,195.63350244005656,391.2670048801131,19800.0,5.5,0.01188566256895911,0.011705406378836141,0.17130295565716558,5659.288934242602,22637.15573697041,1,1,True,False,195.63350244005656,218.31615288011312,0.0,218.31615288011312,195.63350244005656,supercritical,False,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p562_6p391_20240312_20240322.json,copernicus_annotations_2026-03-24(2).csv
e3c4104d-2ef6-4e7d-ad5d-55331dac38f1,2024-03-22,neagh,manual,manual,35.71513414634146,e3c4104d-2ef6-4e7d-ad5d-55331dac38f1,42.0,,,20.5,-13.809715,13.809715,54.69124633608315,-6.313324705025384,7.77,6.225714285714285,5.41,5.02,8.04,1.2261537673654512,5.5,0.0,0.0,1.5,258.0347525593043,260,21968.13667159088,21968.13667159088,21968.13667159088,21968.13667159088,13406.46838732614,194.86268887204935,389.7253777440987,165.71658000000002,389.7253777440987,194.86268887204935,389.7253777440987,19800.0,5.5,0.012366457516189148,0.011669484329694581,0.17077725385818002,5632.064496708549,22528.257986834196,1,1,True,False,194.86268887204935,224.00879774409867,0.0,224.00879774409867,194.86268887204935,supercritical,False,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p691_6p313_20240312_20240322.json,copernicus_annotations_2026-03-24(2).csv
2d56ea34-de25-4754-9937-131c87691550,2024-03-30,neagh,manual,manual,38.79219807692308,2d56ea34-de25-4754-9937-131c87691550,53.0,,,26.0,-14.120935,14.120935,54.64226840792184,-6.388251249941961,3.665,2.886428571428571,2.53,2.0,4.1,0.8086086563868046,5.5,4.5,5.5,0.0,175.92894322116433,180,7136.641009123996,7136.641009123996,7136.641009123996,7136.641009123996,17592.46319495245,203.3949266821684,406.7898533643368,169.45121999999998,406.7898533643368,203.3949266821684,406.7898533643368,19800.0,5.5,0.004444328188489936,0.004288359788422316,0.06275806946833414,16697.47953205715,66789.9181282286,1,1,True,False,203.3949266821684,237.33863336433683,0.0,237.33863336433683,203.3949266821684,supercritical,False,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p642_6p388_20240320_20240330.json,copernicus_annotations_2026-03-24(2).csv
5ba1f800-1288-4148-82b2-8b568dc8a8b9,2024-03-30,neagh,manual,manual,42.64070789473684,5ba1f800-1288-4148-82b2-8b568dc8a8b9,39.0,,,19.0,-14.624072,14.624072,54.67560640725435,-6.358476639145937,3.565,2.8721428571428573,2.5,2.06,3.82,0.6742395565315318,5.5,5.5,5.5,0.0,178.43043196678627,180,10557.154211629995,10348.537171224294,9826.994570210038,10557.154211629995,17720.31060483114,214.6008484944462,429.2016969888924,175.488864,429.2016969888924,214.6008484944462,429.2016969888924,19800.0,5.5,0.00429187434006849,0.004288811453228269,0.06276467936411409,18586.08068877089,74344.32275508356,1,1,True,False,214.6008484944462,253.71283298889242,0.0,253.71283298889242,214.6008484944462,supercritical,False,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p676_6p358_20240320_20240330.json,copernicus_annotations_2026-03-24(2).csv
f968ba1c-9e66-42f1-b99f-5105787b2c7a,2024-08-09,neagh,manual,manual,45.42167073170732,f968ba1c-9e66-42f1-b99f-5105787b2c7a,42.0,,,20.5,-14.555559,14.555559,54.6382870281922,-6.323069897090278,6.41,5.948571428571428,6.37,5.03,6.67,0.6187644040788884,5.5,0.0,0.0,2.5,249.4843894683537,240,16775.361921486157,16415.415506315756,15515.549468389758,16775.361921486157,14550.77306408563,207.23456788204663,414.46913576409327,174.666708,414.46913576409327,207.23456788204663,414.46913576409327,19800.0,5.5,0.009397929232065646,0.009347225042332583,0.1367921134151562,7952.498642055399,31809.994568221595,1,1,True,False,207.23456788204663,239.80242776409327,0.0,239.80242776409327,207.23456788204663,supercritical,False,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p638_6p323_20240730_20240809.json,copernicus_annotations_2026-03-24(2).csv
85d72389-649d-4fcc-aea6-5b5085521247,2024-10-01,neagh,manual,manual,41.50606875,85d72389-649d-4fcc-aea6-5b5085521247,33.0,,,16.0,-10.588494,10.588494,54.59065247037907,-6.397605611489192,4.324999999999999,3.489285714285714,3.25,2.95,4.47,0.5911515914565675,5.5,5.0,5.5,0.0,23.06707923937256,20,6337.996410056037,6330.881480826928,6328.035509135283,6337.996410056037,16763.92826822676,149.6819235631587,299.3638471263174,127.06192800000001,299.3638471263174,149.6819235631587,299.3638471263174,19800.0,5.5,0.005503881967395849,0.0039822172201718275,0.05827782118847914,9738.132244252874,38952.5289770115,1,1,True,False,149.6819235631587,172.3019191263174,0.0,172.3019191263174,149.6819235631587,supercritical,False,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p591_6p398_20240921_20241001.json,copernicus_annotations_2026-03-24(2).csv
afee9388-78f5-4a15-bfb3-8604d959feeb,2024-10-11,neagh,manual,manual,41.32171666666667,afee9388-78f5-4a15-bfb3-8604d959feeb,49.0,,,24.0,-14.300511,14.300511,54.61131549361896,-6.353593593644315,4.12,3.812857142857143,3.76,3.58,4.12,0.19143923211253414,5.5,5.0,5.5,0.0,237.0339943867018,240,13145.413716042269,13145.413716042269,13145.413716042269,13145.413716042269,17016.51391813334,209.23739896816687,418.47479793633374,171.606132,418.47479793633374,209.23739896816687,418.47479793633374,19800.0,5.5,0.0051651794850581315,0.005047294122686001,0.07386470604304815,15013.498841931809,60053.995367727235,1,1,True,False,209.23739896816687,246.86866593633374,0.0,246.86866593633374,209.23739896816687,supercritical,False,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p611_6p354_20241001_20241011.json,copernicus_annotations_2026-03-24(2).csv
d41a61de-f731-4a7f-9bf2-52e9a14ecfa1,2024-10-11,neagh,manual,manual,47.3132306122449,d41a61de-f731-4a7f-9bf2-52e9a14ecfa1,50.0,,,24.5,-10.827325,10.827325,54.55506370366507,-6.471246443328527,4.04,3.742857142857143,3.74,3.47,4.04,0.19513469968308597,5.5,5.5,5.5,0.0,233.53715228823185,240,6453.58089806673,6453.580898066729,6453.58089806673,6453.58089806673,17116.49034904938,154.0462236524209,308.0924473048418,129.9279,308.0924473048418,154.0462236524209,308.0924473048418,19800.0,5.5,0.005035301028271994,0.0037253600401570748,0.054518840705935066,11025.435769764485,44101.74307905794,1,1,True,False,154.0462236524209,178.16454730484182,0.0,178.16454730484182,154.0462236524209,supercritical,False,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p555_6p471_20241001_20241011.json,copernicus_annotations_2026-03-24(2).csv
