observation_id,site_id,site_label,image_date,observed_spacing_m,measurement_method,manual_spacing_m,wiggle_spacing_m,has_manual,has_wiggle,latitude,longitude,observation_time_utc,representative_u10_mps,depth_m,fetch_m,pattern_lifetime_s,pattern_reset_time,pattern_reset_event_count,pattern_reset_causes,wind_direction_deg,forcing_mode,matched_cache_file,lookback_hours,onset_only,visible_spacing_multiplier,max_visible_mergers,max_visible_aspect_ratio,max_cell_aspect_ratio,drag_method,drift_method,proxy_notes
obs_012,taihu,Taihu Lake,2018-06-13,115.5076462,wiggle,,115.5076462,False,True,31.41425,120.14728,2018-06-13 02:30:00+00:00,3.16,2.0,30000.0,19800.0,,0,,174.52373477836284,era5_cache_matched,data/raw/era5_cache/31p414_120p147_20180603_20180613.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_013,taihu,Taihu Lake,2018-06-18,148.6952771,wiggle,,148.6952771,False,True,31.39743,120.2383,2018-06-18 02:30:00+00:00,4.39,2.0,30000.0,19800.0,,0,,131.96353872548264,era5_cache_matched,data/raw/era5_cache/31p397_120p238_20180608_20180618.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_014,taihu,Taihu Lake,2018-08-07,147.7419404,wiggle,,147.7419404,False,True,31.38602,120.14593,2018-08-07 02:30:00+00:00,2.0949999999999998,2.0,30000.0,19800.0,,0,,130.13616238510974,era5_cache_matched,data/raw/era5_cache/31p386_120p146_20180728_20180807.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_015,taihu,Taihu Lake,2018-08-07,197.885081,wiggle,,197.885081,False,True,31.30626,119.97152,2018-08-07 02:30:00+00:00,2.36,2.0,30000.0,19800.0,,0,,126.05086810636107,era5_cache_matched,data/raw/era5_cache/31p306_119p972_20180728_20180807.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_016,prairie,Prairie Lakes,2018-08-12,41.34629574,manual,41.34629574,,True,False,48.04927,-98.8547,2018-08-12 16:30:00+00:00,5.175,3.5,12000.0,19800.0,,0,,169.95844989451552,era5_cache_matched,data/raw/era5_cache/48p049_98p855_20180802_20180812.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_017,taihu,Taihu Lake,2018-08-27,148.4256036,wiggle,,148.4256036,False,True,31.38465,120.14425,2018-08-27 02:30:00+00:00,4.335,2.0,30000.0,19800.0,,0,,129.03114502794836,era5_cache_matched,data/raw/era5_cache/31p385_120p144_20180817_20180827.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_018,prairie,Prairie Lakes,2018-09-01,118.7082602,wiggle,,118.7082602,False,True,48.02538,-98.92961,2018-09-01 16:30:00+00:00,1.9899999999999998,3.5,12000.0,0.0,2018-09-01 16:30:00+00:00,7,low_wind_shutdown,165.52805776408343,era5_cache_matched,data/raw/era5_cache/48p025_98p930_20180822_20180901.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_019,taihu,Taihu Lake,2018-10-11,38.21719311,manual,38.21719311,125.875616,True,True,31.32474,120.00474,2018-10-11 02:30:00+00:00,3.935,2.0,30000.0,19800.0,,0,,27.517154183356638,era5_cache_matched,data/raw/era5_cache/31p325_120p005_20181001_20181011.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_020,taihu,Taihu Lake,2019-05-24,111.5705296,wiggle,,111.5705296,False,True,31.38457,120.15229,2019-05-24 02:30:00+00:00,5.1899999999999995,2.0,30000.0,19800.0,,0,,163.02505071164012,era5_cache_matched,data/raw/era5_cache/31p385_120p152_20190514_20190524.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
obs_021,taihu,Taihu Lake,2019-05-29,179.0578665,wiggle,,179.0578665,False,True,31.36097,120.17958,2019-05-29 02:30:00+00:00,1.53,2.0,30000.0,0.0,2019-05-29 02:30:00+00:00,6,low_wind_shutdown,189.72448445284584,era5_cache_matched,data/raw/era5_cache/31p361_120p180_20190519_20190529.json,6.0,False,1.0,3,300.0,12.0,coare35,webb_fox_kemper,Hourly ERA5/Open-Meteo cache matched to observation date and location. Overpass assumed 10:30 local with an interpolated sample at the overpass time.
