site_id,x,n,rho,p_value,median_wiggle_m,median_x,median_bias_m,mae_m
all,L_inst,34,0.16001834768651052,0.3659935693863974,126.060378,27.412860780453045,-98.71648814865765,125.36561584314508
all,mechanical_capped_width,34,0.06960230219528449,0.6956921376806087,126.060378,24.0,-101.60975414999999,131.29832798264707
all,comparison_spacing,34,0.02766315275191825,0.8765858962686854,126.060378,98.63841304742034,-52.46270023556675,90.92577626040051
all,U10,34,-0.06923429942883408,0.6972250082490825,126.060378,2.6425,,
all,obs_u10,34,-0.06923429942883408,0.6972250082490825,126.060378,2.6425,,
all,window_mean_u10,34,-0.21593948760230547,0.21998421603639615,126.060378,2.6334375,,
all,pattern_lifetime_h,34,-0.20844876850948313,0.23679264952853596,126.060378,5.0,,
all,n_events,34,-0.16091290577795314,0.3632846719689067,126.060378,1.0,,
erie,L_inst,3,-0.5,0.6666666666666667,406.7357008,109.47432197431034,-292.86508866587917,258.37759749347805
erie,mechanical_capped_width,3,,,406.7357008,84.0,-322.7357008,267.5078577333333
erie,comparison_spacing,3,-0.5,0.6666666666666667,406.7357008,213.98898111951058,-292.86508866587917,259.2042079649964
erie,U10,3,0.5,0.6666666666666667,406.7357008,2.42,,
erie,obs_u10,3,0.5,0.6666666666666667,406.7357008,2.42,,
erie,window_mean_u10,3,-0.5,0.6666666666666667,406.7357008,3.6137500000000005,,
erie,pattern_lifetime_h,3,0.0,1.0,406.7357008,5.5,,
erie,n_events,3,0.0,1.0,406.7357008,1.0,,
neagh,L_inst,2,0.9999999999999999,,275.1434276,134.44143078512735,-140.70199681487264,140.70199681487264
neagh,mechanical_capped_width,2,,,275.1434276,108.0,-167.1434276,167.1434276
neagh,comparison_spacing,2,0.9999999999999999,,275.1434276,268.8828615702547,-6.260566029745291,64.62256865325452
neagh,U10,2,-0.9999999999999999,,275.1434276,3.44,,
neagh,obs_u10,2,-0.9999999999999999,,275.1434276,3.44,,
neagh,window_mean_u10,2,0.9999999999999999,,275.1434276,2.37375,,
neagh,pattern_lifetime_h,2,0.9999999999999999,,275.1434276,4.0,,
neagh,n_events,2,,,275.1434276,1.0,,
prairie,L_inst,4,0.39999999999999997,0.6,80.44504211,52.923903981424814,-27.598492062330546,30.258758782787762
prairie,mechanical_capped_width,4,,,80.44504211,42.0,-38.44504211,40.9832932325
prairie,comparison_spacing,4,-0.7999999999999999,0.20000000000000007,80.44504211,54.68830307367192,-26.697549165330212,42.736930252474934
prairie,U10,4,-0.39999999999999997,0.6,80.44504211,2.3724999999999996,,
prairie,obs_u10,4,-0.39999999999999997,0.6,80.44504211,2.3724999999999996,,
prairie,window_mean_u10,4,-0.7999999999999999,0.20000000000000007,80.44504211,2.1875,,
prairie,pattern_lifetime_h,4,-0.7745966692414834,0.22540333075851657,80.44504211,0.0,,
prairie,n_events,4,-0.7745966692414834,0.22540333075851657,80.44504211,0.0,,
taihu,L_inst,25,0.23056203906542463,0.2675108996907169,126.24514,27.024930442354552,-100.97094484730867,123.39436469702406
taihu,mechanical_capped_width,25,,,126.24514,24.0,-102.24514,126.53598200319999
taihu,comparison_spacing,25,-0.3167822339746986,0.12286292511703847,126.24514,97.40464409336494,-51.29063300663506,80.5468364256888
taihu,U10,25,-0.23056203906542463,0.2675108996907169,126.24514,2.62,,
taihu,obs_u10,25,-0.23056203906542463,0.2675108996907169,126.24514,2.62,,
taihu,window_mean_u10,25,-0.313257700836041,0.1273153840160019,126.24514,2.7275,,
taihu,pattern_lifetime_h,25,-0.3154595196999773,0.12452037550117404,126.24514,5.5,,
taihu,n_events,25,-0.3131576627705799,0.1274434453485693,126.24514,2.0,,
