case_id,image_date,site_id,wiggle_spacing,manual_spacing,measurement_method,observed_spacing,depth,U10,Ra,L_inst,coarsened_width,mechanical_capped_width,comparison_spacing,visible_spacing_lower,pattern_lifetime_s,u_star_water,nu_T_vertical,A_H,n_events,visible_n_events,cap_binding,regime,matched_cache_file,observation_time_utc,window_history_h,obs_u10,obs_wind_direction_deg,window_mean_u10,window_median_u10,window_min_u10,window_max_u10,window_std_u10,hours_u10_le_4,hours_u10_le_5,hours_u10_ge_6,pattern_proxy_cache_file,has_manual,pattern_lifetime_h,comparison_bias_m,comparison_ratio,onset_bias_m,mechanical_bias_m
obs_004,2018-04-19,taihu,97.85781439,71.61642828,manual,97.85781439,2.0,3.2199999999999998,21893.218690825797,25.938573647731705,103.75429459092682,24.0,103.75429459092682,25.938573647731705,19800.0,0.0037834759128714903,0.0005170619843049546,0.007566951825742981,2,2,True,supercritical,data/raw/era5_cache/31p334_120p023_20180409_20180419.json,2018-04-19 02:30:00+00:00,6.5,3.2199999999999998,136.50621133777418,3.42,3.3499999999999996,3.2199999999999998,3.69,0.16424067705656847,6.5,6.5,0.0,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/31p334_120p023_20180409_20180419.json,True,5.5,5.896480200926817,1.0602555885565472,-71.9192407422683,-73.85781439
obs_005,2018-04-19,taihu,188.5792208,40.44183062,manual,188.5792208,2.0,3.2199999999999998,21893.218690825797,25.938573647731705,103.75429459092682,24.0,103.75429459092682,25.938573647731705,19800.0,0.0037834759128714903,0.0005170619843049546,0.007566951825742981,2,2,True,supercritical,data/raw/era5_cache/31p365_119p998_20180409_20180419.json,2018-04-19 02:30:00+00:00,6.5,3.2199999999999998,136.50621133777418,3.42,3.3499999999999996,3.2199999999999998,3.69,0.16424067705656847,6.5,6.5,0.0,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/31p365_119p998_20180409_20180419.json,True,5.5,-84.82492620907318,0.5501894331240487,-162.6406471522683,-164.5792208
obs_006,2018-04-19,taihu,125.3438923,,wiggle,125.3438923,2.0,2.5250000000000004,21756.97296945504,27.221620759500745,108.88648303800298,24.0,108.88648303800298,27.221620759500745,19800.0,0.0028479515870877617,0.0003892102216943755,0.005695903174175523,2,2,True,supercritical,data/raw/era5_cache/31p183_120p299_20180409_20180419.json,2018-04-19 02:30:00+00:00,6.5,2.5250000000000004,146.4732666500488,2.980625,2.98,2.5250000000000004,3.4,0.29635744359641103,6.5,6.5,0.0,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/31p183_120p299_20180409_20180419.json,False,5.5,-16.457409261997014,0.8687019450249112,-98.12227154049924,-101.3438923
obs_007,2018-04-29,taihu,126.24514,,wiggle,126.24514,2.0,2.665,21824.180690105808,26.934435243183948,53.868870486367896,24.0,53.868870486367896,26.934435243183948,5400.0,0.0030265479366649176,0.0004136177731176115,0.006053095873329835,1,1,True,supercritical,data/raw/era5_cache/31p364_120p126_20180419_20180429.json,2018-04-29 02:30:00+00:00,6.5,2.665,185.0732376324679,2.666875,2.6825,2.47,2.83,0.11787009533804572,6.5,6.5,0.0,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/31p364_120p126_20180419_20180429.json,False,1.5,-72.37626951363211,0.42670054852303935,-99.31070475681605,-102.24514
obs_008,2018-05-09,taihu,110.7985895,,wiggle,110.7985895,2.0,1.625,20640.073031174397,29.599218589897358,29.599218589897358,24.0,29.599218589897358,29.599218589897358,0.0,0.0018039157212554075,0.00024652892309371646,0.003607831442510815,0,0,True,supercritical,data/raw/era5_cache/31p361_120p136_20180429_20180509.json,2018-05-09 02:30:00+00:00,6.5,1.625,55.88302957334861,2.2043749999999998,2.2350000000000003,1.625,2.72,0.3783800792523307,6.5,6.5,0.0,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/31p361_120p136_20180429_20180509.json,False,0.0,-81.19937091010264,0.26714436278899883,-81.19937091010264,-86.7985895
obs_009,2018-06-13,taihu,157.9727524,,wiggle,157.9727524,2.0,2.5149999999999997,21751.218306623876,27.242787767750784,54.48557553550157,24.0,54.48557553550157,27.242787767750784,5400.0,0.002835383852289673,0.00038749267464437034,0.005670767704579346,1,1,True,supercritical,data/raw/era5_cache/31p364_120p030_20180603_20180613.json,2018-06-13 02:30:00+00:00,6.5,2.5149999999999997,162.81304599683074,2.1793750000000003,2.0999999999999996,1.73,2.67,0.3568301197698983,6.5,6.5,0.0,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/31p364_120p030_20180603_20180613.json,False,1.5,-103.48717686449842,0.3449048947222215,-130.72996463224922,-133.9727524
obs_010,2018-06-13,taihu,108.120343,,wiggle,108.120343,2.0,2.5149999999999997,21751.218306623876,27.242787767750784,54.48557553550157,24.0,54.48557553550157,27.242787767750784,5400.0,0.002835383852289673,0.00038749267464437034,0.005670767704579346,1,1,True,supercritical,data/raw/era5_cache/31p362_120p092_20180603_20180613.json,2018-06-13 02:30:00+00:00,6.5,2.5149999999999997,162.81304599683074,2.1793750000000003,2.0999999999999996,1.73,2.67,0.3568301197698983,6.5,6.5,0.0,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/31p362_120p092_20180603_20180613.json,False,1.5,-53.63476746449844,0.5039345420454462,-80.87755523224922,-84.120343
obs_011,2018-06-13,taihu,75.59410319,,wiggle,75.59410319,2.0,3.16,21897.681152447673,26.036756585422744,104.14702634169097,24.0,104.14702634169097,26.036756585422744,19800.0,0.0036979391068071637,0.0005053722493381574,0.0073958782136143274,2,2,True,supercritical,data/raw/era5_cache/31p278_120p223_20180603_20180613.json,2018-06-13 02:30:00+00:00,6.5,3.16,174.52373477836284,2.9375,2.935,2.7,3.23,0.18109044701474455,6.5,6.5,0.0,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/31p278_120p223_20180603_20180613.json,False,5.5,28.552923151690976,1.3777136303862934,-49.557346604577255,-51.59410319
obs_012,2018-06-13,taihu,115.5076462,,wiggle,115.5076462,2.0,3.16,21897.681152447673,26.036756585422744,104.14702634169097,24.0,104.14702634169097,26.036756585422744,19800.0,0.0036979391068071637,0.0005053722493381574,0.0073958782136143274,2,2,True,supercritical,data/raw/era5_cache/31p414_120p147_20180603_20180613.json,2018-06-13 02:30:00+00:00,6.5,3.16,174.52373477836284,2.9375,2.935,2.7,3.23,0.18109044701474455,6.5,6.5,0.0,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/31p414_120p147_20180603_20180613.json,False,5.5,-11.360619858309022,0.9016461660153801,-89.47088961457726,-91.5076462
obs_013,2018-06-18,taihu,148.6952771,,wiggle,148.6952771,2.0,4.39,21533.59619197331,24.351161023341234,97.40464409336494,24.0,97.40464409336494,24.351161023341234,19800.0,0.005613015586630763,0.0007670927591435996,0.011226031173261526,2,2,True,supercritical,data/raw/era5_cache/31p397_120p238_20180608_20180618.json,2018-06-18 02:30:00+00:00,6.5,4.39,131.96353872548264,4.8375,4.890000000000001,4.39,5.24,0.3003643620671402,0.0,4.5,0.0,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/31p397_120p238_20180608_20180618.json,False,5.5,-51.29063300663506,0.655062124319246,-124.34411607665876,-124.6952771
obs_014,2018-08-07,taihu,147.7419404,,wiggle,147.7419404,2.0,2.0949999999999998,21379.75717106665,28.223527476396065,56.44705495279213,24.0,56.44705495279213,28.223527476396065,19800.0,0.0023291185672341596,0.00031830483285450546,0.004658237134468319,1,1,True,supercritical,data/raw/era5_cache/31p386_120p146_20180728_20180807.json,2018-08-07 02:30:00+00:00,6.5,2.0949999999999998,130.13616238510974,2.786875,2.94,2.0949999999999998,3.22,0.4232976014283569,6.5,6.5,0.0,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/31p386_120p146_20180728_20180807.json,False,5.5,-91.29488544720788,0.3820652063995237,-119.51841292360393,-123.7419404
obs_015,2018-08-07,taihu,197.885081,,wiggle,197.885081,2.0,2.36,21644.504881976096,27.582933793155306,110.33173517262122,24.0,110.33173517262122,27.582933793155306,19800.0,0.0026437416126240875,0.0003613022299316069,0.005287483225248175,2,2,True,supercritical,data/raw/era5_cache/31p306_119p972_20180728_20180807.json,2018-08-07 02:30:00+00:00,6.5,2.36,126.05086810636107,2.7275,2.74,2.36,3.09,0.23805199011980552,6.5,6.5,0.0,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/31p306_119p972_20180728_20180807.json,False,5.5,-87.55334582737879,0.5575545898410664,-170.30214720684472,-173.885081
