site_id,n,n_mixed_manual_wiggle,spearman_rho_comparison,spearman_p_value_comparison,median_wiggle_m,median_comparison_m,median_L_inst_m,median_obs_u10_mps,median_window_mean_u10_mps,median_pattern_lifetime_h,median_n_events,median_comparison_bias_m,mae_comparison_m
erie,3,0,-0.5,0.6666666666666667,406.7357008,213.98898111951058,109.47432197431034,2.42,3.6137500000000005,5.5,1.0,-292.86508866587917,259.2042079649964
neagh,2,1,0.9999999999999999,,275.1434276,268.8828615702547,134.44143078512735,3.44,2.37375,4.0,1.0,-6.260566029745291,64.62256865325452
prairie,4,1,-0.7999999999999999,0.20000000000000007,80.44504211,54.68830307367192,52.923903981424814,2.3724999999999996,2.1875,0.0,0.0,-26.697549165330212,42.736930252474934
taihu,25,4,-0.3167822339746986,0.12286292511703847,126.24514,97.40464409336494,27.024930442354552,2.62,2.7275,5.5,2.0,-51.29063300663506,80.5468364256888
