observation_id,observed_spacing_m,site_id,representative_u10_mps,Linst_raw_m,Lsel_premerge_m,Lmech_raw_m,Lmech_capped_m,Lvis_bound_m,Lvis_proxy_m,n_mergers,n_visible_mergers,cap_binding,visible_cap_binding,has_raw_instability
obs_001,369.5447048,taihu,1.4249999999999998,30.310388786622077,3.7887985983277592,3.7887985983277592,3.7887985983277592,3.7887985983277592,3.7887985983277592,0,0,False,False,True
obs_002,54.51738712,prairie,1.455,55.51189203691689,6.938986504614611,6.938986504614611,6.938986504614611,6.938986504614611,6.938986504614611,0,0,False,False,True
obs_003,76.20806952,prairie,1.945,53.98960569050551,6.748700711313189,6.748700711313189,6.748700711313189,6.748700711313189,6.748700711313189,0,0,False,False,True
obs_004,71.61642828,taihu,3.22,25.938573647731705,3.242321705966463,25.938573647731705,24.0,25.938573647731705,25.938573647731705,3,3,True,False,True
obs_005,40.44183062,taihu,3.22,25.938573647731705,3.242321705966463,25.938573647731705,24.0,25.938573647731705,25.938573647731705,3,3,True,False,True
obs_006,125.3438923,taihu,2.5250000000000004,27.221620759500745,3.402702594937593,27.221620759500745,24.0,27.221620759500745,27.221620759500745,3,3,True,False,True
obs_007,126.24514,taihu,2.665,26.934435243183948,3.366804405397993,3.3668044053979935,3.3668044053979935,3.3668044053979935,3.3668044053979935,0,0,False,False,True
obs_008,110.7985895,taihu,1.625,29.59921858989736,3.6999023237371698,3.6999023237371698,3.6999023237371698,3.6999023237371698,3.6999023237371698,0,0,False,False,True
obs_009,157.9727524,taihu,2.515,27.242787767750784,3.405348470968848,3.405348470968848,3.405348470968848,3.405348470968848,3.405348470968848,0,0,False,False,True
obs_010,108.120343,taihu,2.515,27.242787767750784,3.405348470968848,3.405348470968848,3.405348470968848,3.405348470968848,3.405348470968848,0,0,False,False,True
obs_011,75.59410319,taihu,3.16,26.036756585422744,3.254594573177843,26.036756585422744,24.0,26.036756585422744,26.036756585422744,3,3,True,False,True
obs_012,115.5076462,taihu,3.16,26.036756585422744,3.254594573177843,26.036756585422744,24.0,26.036756585422744,26.036756585422744,3,3,True,False,True
obs_013,148.6952771,taihu,4.39,24.351161023341238,3.0438951279176543,24.351161023341234,24.0,24.351161023341234,24.351161023341234,3,3,True,False,True
obs_014,147.7419404,taihu,2.095,28.223527476396065,3.527940934549508,14.111763738198032,14.111763738198032,14.111763738198032,14.111763738198032,2,2,False,False,True
obs_015,197.885081,taihu,2.36,27.582933793155306,3.447866724144413,27.582933793155306,24.0,27.582933793155306,27.582933793155306,3,3,True,False,True
obs_016,41.34629574,prairie,5.175,47.69081835659309,6.132432438078289,49.05945950462631,42.0,49.05945950462631,49.05945950462631,3,3,True,False,True
obs_017,148.4256036,taihu,4.335,24.414535371018854,3.0518169213773567,24.414535371018854,24.0,24.414535371018854,24.414535371018854,3,3,True,False,True
obs_018,118.7082602,prairie,1.99,53.86471411042694,6.733089263803367,6.733089263803367,6.733089263803367,6.733089263803367,6.733089263803367,0,0,False,False,True
obs_019,38.21719311,taihu,3.935,24.90467115269132,3.1130838940864147,24.904671152691318,24.0,24.904671152691318,24.904671152691318,3,3,True,False,True
obs_020,111.5705296,taihu,5.19,23.520001312321877,3.034618569358279,24.27694855486623,24.0,24.27694855486623,24.27694855486623,3,3,True,False,True
obs_021,179.0578665,taihu,1.53,29.92571760779669,3.740714700974587,3.740714700974587,3.740714700974587,3.740714700974587,3.740714700974587,0,0,False,False,True
obs_022,78.84174563,taihu,2.52,27.23219296297495,3.4040241203718686,27.23219296297495,24.0,27.23219296297495,27.23219296297495,3,3,True,False,True
